county_name,city
Clay,FLEMING ISLAND
Lafayette,BRANFORD
Nassau,BRYCEVILLE
Nassau,CALLAHAN
Lafayette,DAY
Columbia,LAKE CITY
St. Johns,ELKTON
Nassau,FERNANDINA BEACH
Columbia,FORT WHITE
Baker,GLEN SAINT MARY
Clay,GREEN COVE SPRINGS
Bradford,HAMPTON
Nassau,HILLIARD
Hamilton,JASPER
Hamilton,JENNINGS
Union,LAKE BUTLER
Bradford,LAWTEY
Madison,LEE
Suwannee,LIVE OAK
Columbia,LULU
Suwannee,MCALPIN
Baker,MACCLENNY
Clay,ORANGE PARK
Lafayette,MAYO
Clay,MIDDLEBURG
Suwannee,O'BRIEN
Clay,PENNEY FARMS
St. Johns,SAINT AUGUSTINE
St. Johns,PONTE VEDRA
St. Johns,PONTE VEDRA BEACH
Union,RAIFORD
Baker,SANDERSON
Bradford,STARKE
Suwannee,WELLBORN
Columbia,WHITE SPRINGS
Nassau,YULEE
Lake,ASTOR
Flagler,BUNNELL
Putnam,CRESCENT CITY
Marion,CITRA
Volusia,DAYTONA BEACH
Volusia,PORT ORANGE
Volusia,DE LEON SPRINGS
Putnam,EAST PALATKA
Volusia,EDGEWATER
Marion,EASTLAKE WEIR
Marion,FORT MCCOY
Flagler,FLAGLER BEACH
Flagler,PALM COAST
Putnam,GEORGETOWN
Putnam,FLORAHOME
St. Johns,HASTINGS
Putnam,HOLLISTER
Putnam,INTERLACHEN
Putnam,LAKE COMO
Lake,LADY LAKE
Sumter,THE VILLAGES
Volusia,NEW SMYRNA BEACH
Volusia,ORMOND BEACH
Putnam,PALATKA
Marion,OCKLAWAHA
Volusia,PIERSON
Putnam,POMONA PARK
Marion,ORANGE SPRINGS
Putnam,SAN MATEO
Putnam,SATSUMA
Volusia,SEVILLE
Marion,SPARR
Putnam,WELAKA
Marion,WEIRSDALE
Duval,JACKSONVILLE
Duval,ATLANTIC BEACH
Duval,JACKSONVILLE BEACH
St. Johns,SAINT JOHNS
Duval,NEPTUNE BEACH
Leon,TALLAHASSEE
Franklin,APALACHICOLA
Liberty,BRISTOL
Franklin,CARRABELLE
Franklin,LANARK VILLAGE
Gadsden,CHATTAHOOCHEE
Wakulla,CRAWFORDVILLE
Franklin,EASTPOINT
Gadsden,GREENSBORO
Madison,GREENVILLE
Gadsden,GRETNA
Gadsden,HAVANA
Liberty,HOSFORD
Taylor,LAMONT
Jefferson,LLOYD
Madison,MADISON
Gadsden,MIDWAY
Jefferson,MONTICELLO
Wakulla,PANACEA
Taylor,PERRY
Madison,PINETTA
Gadsden,QUINCY
Wakulla,SAINT MARKS
Taylor,SALEM
Wakulla,SOPCHOPPY
Dixie,STEINHATCHEE
Liberty,TELOGIA
Jefferson,WACISSA
Bay,PANAMA CITY
Bay,PANAMA CITY BEACH
Bay,MEXICO BEACH
Jackson,ALFORD
Calhoun,ALTHA
Jackson,BASCOM
Calhoun,BLOUNTSTOWN
Holmes,BONIFAY
Jackson,CAMPBELLTON
Washington,CARYVILLE
Washington,CHIPLEY
Calhoun,CLARKSVILLE
Jackson,COTTONDALE
Jackson,CYPRESS
Walton,DEFUNIAK SPRINGS
Washington,EBRO
Bay,FOUNTAIN
Walton,FREEPORT
Jackson,GRACEVILLE
Jackson,GRAND RIDGE
Jackson,GREENWOOD
Bay,LYNN HAVEN
Jackson,MALONE
Jackson,MARIANNA
Calhoun,WEWAHITCHKA
Walton,PONCE DE LEON
Gulf,PORT SAINT JOE
Walton,SANTA ROSA BEACH
Jackson,SNEADS
Walton,INLET BEACH
Washington,VERNON
Washington,WAUSAU
Holmes,WESTVILLE
Gulf,WEWAHITCHKA
Bay,YOUNGSTOWN
Escambia,PENSACOLA
Santa Rosa,BAGDAD
Okaloosa,BAKER
Escambia,CANTONMENT
Escambia,CENTURY
Okaloosa,CRESTVIEW
Okaloosa,DESTIN
Okaloosa,EGLIN AFB
Okaloosa,HURLBURT FIELD
Okaloosa,FORT WALTON BEACH
Walton,MIRAMAR BEACH
Escambia,GULF BREEZE
Santa Rosa,GULF BREEZE
Santa Rosa,HOLT
Santa Rosa,JAY
Santa Rosa,NAVARRE
Okaloosa,LAUREL HILL
Escambia,MCDAVID
Okaloosa,MARY ESTHER
Santa Rosa,MILTON
Escambia,MOLINO
Okaloosa,NICEVILLE
Okaloosa,SHALIMAR
Okaloosa,VALPARAISO
Alachua,GAINESVILLE
Alachua,ALACHUA
Marion,ANTHONY
Alachua,ARCHER
Gilchrist,BELL
Levy,BRONSON
Bradford,BROOKER
Levy,CEDAR KEY
Levy,CHIEFLAND
Dixie,CROSS CITY
Alachua,EARLETON
Marion,FAIRFIELD
Levy,GULF HAMMOCK
Alachua,HAWTHORNE
Alachua,HIGH SPRINGS
Dixie,HORSESHOE BEACH
Clay,KEYSTONE HEIGHTS
Alachua,LA CROSSE
Marion,MCINTOSH
Putnam,MELROSE
Alachua,MICANOPY
Levy,MORRISTON
Alachua,NEWBERRY
Dixie,OLD TOWN
Marion,ORANGE LAKE
Levy,OTTER CREEK
Marion,REDDICK
Dixie,SUWANNEE
Gilchrist,TRENTON
Alachua,WALDO
Levy,WILLISTON
Union,WORTHINGTON SPRINGS
Seminole,ALTAMONTE SPRINGS
Lake,ALTOONA
Orange,APOPKA
Seminole,CASSELBERRY
Seminole,WINTER SPRINGS
Orange,CHRISTMAS
Volusia,DEBARY
Volusia,DELAND
Volusia,DELTONA
Lake,EUSTIS
Seminole,GENEVA
Lake,GRAND ISLAND
Volusia,LAKE HELEN
Seminole,LAKE MARY
Seminole,LONGWOOD
Orange,MAITLAND
Brevard,MIMS
Lake,MOUNT DORA
Volusia,OAK HILL
Volusia,ORANGE CITY
Volusia,OSTEEN
Seminole,OVIEDO
Lake,PAISLEY
Orange,PLYMOUTH
Seminole,SANFORD
Brevard,SCOTTSMOOR
Lake,SORRENTO
Lake,TAVARES
Brevard,TITUSVILLE
Marion,UMATILLA
Orange,WINTER PARK
Seminole,WINTER PARK
Orange,ZELLWOOD
Orange,ORLANDO
Brevard,ORLANDO
Brevard,MELBOURNE
Brevard,INDIALANTIC
Brevard,PALM BAY
Brevard,CAPE CANAVERAL
Brevard,COCOA
Brevard,PATRICK AIR FORCE BASE
Brevard,COCOA BEACH
Brevard,SATELLITE BEACH
Indian River,FELLSMERE
Brevard,GRANT
Brevard,MALABAR
Brevard,MELBOURNE BEACH
Brevard,MERRITT ISLAND
Brevard,ROCKLEDGE
Indian River,SEBASTIAN
Brevard,SHARPES
Indian River,VERO BEACH
Indian River,WABASSO
Brevard,SEBASTIAN
Monroe,LONG KEY
Broward,DANIA
Broward,HALLANDALE
Miami-Dade,HIALEAH
Broward,HOLLYWOOD
Broward,PEMBROKE PINES
Miami-Dade,HOMESTEAD
Monroe,ISLAMORADA
Monroe,KEY LARGO
Monroe,KEY WEST
Monroe,SUMMERLAND KEY
Monroe,BIG PINE KEY
Monroe,MARATHON
Monroe,KEY COLONY BEACH
Miami-Dade,OPA LOCKA
Miami-Dade,MIAMI GARDENS
Broward,POMPANO BEACH
Broward,CORAL SPRINGS
Monroe,TAVERNIER
Miami-Dade,MIAMI
Miami-Dade,MIAMI BEACH
Miami-Dade,KEY BISCAYNE
Miami-Dade,NORTH MIAMI BEACH
Broward,FORT LAUDERDALE
Broward,PLANTATION
Palm Beach,WEST PALM BEACH
Palm Beach,NORTH PALM BEACH
Palm Beach,PALM BEACH GARDENS
Palm Beach,WELLINGTON
Palm Beach,BOYNTON BEACH
Palm Beach,BOCA RATON
Palm Beach,BELLE GLADE
Martin,CANAL POINT
Hendry,CLEWISTON
Broward,DEERFIELD BEACH
Palm Beach,DELRAY BEACH
Palm Beach,LAKE WORTH
Martin,HOBE SOUND
Palm Beach,JUPITER
Palm Beach,LAKE WORTH BEACH
Martin,JUPITER
Palm Beach,LOXAHATCHEE
Glades,MOORE HAVEN
Palm Beach,PAHOKEE
Palm Beach,PALM BEACH
Palm Beach,SOUTH BAY
Hillsborough,BALM
Hillsborough,BRANDON
Sumter,BUSHNELL
Sumter,CENTER HILL
Sumter,COLEMAN
Pasco,DADE CITY
Hillsborough,DOVER
Hillsborough,DURANT
Hillsborough,GIBSONTON
Sumter,LAKE PANASOFFKEE
Pasco,ZEPHYRHILLS
Pasco,WESLEY CHAPEL
Hillsborough,LITHIA
Hillsborough,LUTZ
Hillsborough,MANGO
Hillsborough,ODESSA
Hillsborough,PLANT CITY
Hillsborough,RIVERVIEW
Hillsborough,RUSKIN
Hillsborough,APOLLO BEACH
Hillsborough,SUN CITY CENTER
Pasco,SAINT LEO
Pasco,SAN ANTONIO
Hillsborough,SEFFNER
Sumter,SUMTERVILLE
Hillsborough,THONOTOSASSA
Hillsborough,VALRICO
Sumter,WEBSTER
Hillsborough,WIMAUMA
Hillsborough,TAMPA
Pinellas,SAINT PETERSBURG
Pinellas,BAY PINES
Pinellas,CLEARWATER
Pinellas,CLEARWATER BEACH
Pinellas,LARGO
Pinellas,SEMINOLE
Pinellas,PINELLAS PARK
Pinellas,INDIAN ROCKS BEACH
Pinellas,BELLEAIR BEACH
Polk,LAKELAND
Polk,AUBURNDALE
Highlands,AVON PARK
Polk,BABSON PARK
Polk,BARTOW
Hardee,BOWLING GREEN
Polk,BRADLEY
Polk,DAVENPORT
Polk,DUNDEE
Polk,EAGLE LAKE
Polk,EATON PARK
Polk,FORT MEADE
Polk,FROSTPROOF
Polk,HAINES CITY
Polk,HOMELAND
Osceola,INTERCESSION CITY
Polk,KATHLEEN
Polk,LAKE ALFRED
Polk,LAKE HAMILTON
Highlands,LAKE PLACID
Polk,LAKE WALES
Polk,LAKESHORE
Polk,INDIAN LAKE ESTATES
Polk,NALCREST
Highlands,LORIDA
Polk,LOUGHMAN
Polk,MULBERRY
Hardee,ONA
Polk,RIVER RANCH
Polk,POLK CITY
Highlands,SEBRING
Hardee,WAUCHULA
Polk,WAVERLY
Polk,WINTER HAVEN
Hardee,ZOLFO SPRINGS
Osceola,DAVENPORT
Lee,FORT MYERS
Lee,NORTH FORT MYERS
Lee,CAPE CORAL
Lee,ALVA
Lee,BOCA GRANDE
Lee,BOKEELIA
Lee,CAPTIVA
Lee,ESTERO
Hendry,FELDA
Lee,FORT MYERS BEACH
Hendry,LABELLE
Hendry,LEHIGH ACRES
Glades,PALMDALE
Charlotte,PLACIDA
Charlotte,ROTONDA WEST
Charlotte,PORT CHARLOTTE
Charlotte,PUNTA GORDA
Lee,SAINT JAMES CITY
Lee,SANIBEL
Highlands,VENUS
Lee,LEHIGH ACRES
Collier,NAPLES
Lee,BONITA SPRINGS
Collier,COPELAND
Collier,CHOKOLOSKEE
Collier,EVERGLADES CITY
Collier,GOODLAND
Collier,OCHOPEE
Collier,IMMOKALEE
Collier,MARCO ISLAND
Manatee,BRADENTON
Manatee,CORTEZ
Manatee,ANNA MARIA
Manatee,BRADENTON BEACH
Manatee,PARRISH
Manatee,PALMETTO
Manatee,ELLENTON
Sarasota,ENGLEWOOD
Charlotte,ENGLEWOOD
Manatee,LONGBOAT KEY
Sarasota,OSPREY
Sarasota,SARASOTA
Manatee,SARASOTA
Manatee,TERRA CEIA
Manatee,MYAKKA CITY
DeSoto,ARCADIA
DeSoto,FORT OGDEN
DeSoto,NOCATEE
Sarasota,NOKOMIS
Sarasota,VENICE
Sarasota,NORTH PORT
Marion,BELLEVIEW
Citrus,CRYSTAL RIVER
Marion,DUNNELLON
Citrus,DUNNELLON
Citrus,FLORAL CITY
Citrus,HERNANDO
Citrus,HOLDER
Citrus,HOMOSASSA
Levy,INGLIS
Citrus,INVERNESS
Citrus,LECANTO
Citrus,BEVERLY HILLS
Marion,OCALA
Sumter,OXFORD
Marion,SILVER SPRINGS
Marion,SUMMERFIELD
Levy,YANKEETOWN
Hernando,BROOKSVILLE
Hernando,SPRING HILL
Pasco,SPRING HILL
Pasco,LAND O'LAKES
Pasco,NEW PORT RICHEY
Hernando,NOBLETON
Pasco,HUDSON
Pasco,PORT RICHEY
Pinellas,OLDSMAR
Pasco,ARIPEKA
Pinellas,CRYSTAL BEACH
Pinellas,PALM HARBOR
Pinellas,TARPON SPRINGS
Pasco,HOLIDAY
Pinellas,SAFETY HARBOR
Pinellas,DUNEDIN
Lake,ASTATULA
Lake,CLERMONT
Lake,FERNDALE
Lake,FRUITLAND PARK
Orange,GOTHA
Lake,GROVELAND
Lake,HOWEY IN THE HILLS
Osceola,KENANSVILLE
Osceola,KISSIMMEE
Lake,LEESBURG
Lake,MASCOTTE
Lake,MONTVERDE
Polk,KISSIMMEE
Orange,OAKLAND
Orange,OCOEE
Lake,THE VILLAGES
Osceola,SAINT CLOUD
Sumter,WILDWOOD
Orange,WINDERMERE
Orange,WINTER GARDEN
Lake,YALAHA
St. Lucie,FORT PIERCE
St. Lucie,PORT SAINT LUCIE
Martin,INDIANTOWN
St. Lucie,JENSEN BEACH
Okeechobee,OKEECHOBEE
Glades,OKEECHOBEE
Martin,PALM CITY
Martin,STUART
